Movie Name,Director,Release Year,My Rating,Genre,Own
Walkabout,Nicolas Roeg,1971,8.05,Drama,No
Butch Cassidy and the Sundance Kid,George Roy Hill,1969,8.04,Western,No
Kill List,Ben Wheatley,2011,8.04,Thriller,No
Batman Begins,Christopher Nolan,2005,8.03,Action,Yes
Crimes and Misdemeanors,Woody Allen,1989,8.03,Thriller,No
Frost/Nixon,Ron Howard,2008,8.03,Drama,No
Irreversible,Gaspar Noe,2002,8.03,Foreign,No
Nights and Weekends,Joe Swanberg,2008,8.03,Independent,No
Pineapple Express,David Gordon Green,2008,8.03,Comedy,No
Raid: The Redemption,Gareth Evans,2011,8.03,Foreign,No
Red,Krzysztof Kieslowski,1994,8.03,Foreign,No
The Man Who Wasn't There,Joel and Ethan Coen,2001,8.03,Thriller,Yes
Austin Powers: International Man of Mystery,Jay Roach,1997,8.02,Comedy,No
Away From Her,Sarah Polley,2006,8.02,Drama,No
Election,Alexander Payne,1999,8.02,Comedy,Yes
GoodFellas,Martin Scorsese,1990,8.02,Drama,No
Happy Accidents,Brad Anderson,2000,8.02,Sci-Fi,No
Michael Clayton,Tony Gilroy,2007,8.02,Thriller,Yes
Seven Psychopaths,Martin McDonagh,2012,8.02,Action,No
Videodrome,David Cronenberg,1983,8.02,Thriller,No
Being Elmo,Constance Marks,2011,8.01,Documentary,No
Crash,Paul Haggis,2005,8.01,Drama,Yes
Limbo,John Sayles,1999,8.01,Drama,No
Boy,Taika Cohen,2010,7.99,Comedy,No
Cabin the the Woods,Drew Goddard,2012,7.99,Horror,No
Jesus Camp,Heidi Ewing,2006,7.99,Documentary,No
Run & Jump,Steph Green,2013,7.99,Independent,No
The Class,Laurent Cantet,2008,7.99,Foreign,No
Woody Allen: A Documentary,Robert B. Weide,2011,7.99,Documentary,No
Godzilla (2014),Gareth Edwards,2014,7.97,Action,No
Happy-Go-Lucky,Mike Leigh,2008,7.97,Drama,No
Back to the Future III,Robert Zemeckis,1990,7.96,Action,No
Fletch,Michael Ritchie,1985,7.96,Comedy,No
Winter Passing,Adam Rapp,2005,7.96,Independent,Yes
Wonderland,Michael Winterbottom,1999,7.96,Drama,No
Ain't Them Bodies Saints,David Lowery,2013,7.95,Drama,No
Atonement,Joe Wright,2007,7.95,Drama,No
Don't Look Now,Nicolas Roeg,1973,7.95,Horror,No
I Am Divine,Jeffrey Schwarz,2013,7.95,Documentary,No
I Saw the Devil,Ji-woon Kim,2011,7.95,Foreign,No
I'm Not There,Todd Haynes,2007,7.95,Drama,No
Once,John Carney,2006,7.95,Drama,No
Ray Harryhausen: Special Effects Titan,Gilles Penso,2011,7.95,Documentary,No
The Amazing Spider-Man,Marc Webb,2012,7.95,Action,No
The Edge of Heaven,Fatih Akin,2007,7.95,Foreign,No
The Greatest Movie Ever Sold,Morgan Spurlock,2011,7.95,Documentary,No
You Can Count on Me,Kenneth Lonergan,2000,7.95,Independent,No
Bellflower,Evan Glodell,2011,7.94,Independent,No
Boogie Nights,Paul Thomas Anderson,1997,7.94,Drama,No
Dredd,Pete Travis,2012,7.94,Action,No
Schindler's List,Steven Spielberg,1993,7.94,War,No
Show Me Love,Lukas Moodysson,1998,7.94,Foreign,No
The Hobbit: The Desolation of Smaug,Peter Jackson,2013,7.94,Fantasy,No
The Host,Joon-ho Bong,2006,7.94,Foreign,No
Attack the Block,Joe Cornish,2011,7.93,Sci-Fi,No
Be Kind Rewind,Michel Gondry,2008,7.93,Comedy,Yes
Bully,Lee Hirsch,2011,7.93,Documentary,No
The Gold Rush,Charles Chaplin,1925,7.93,Classic,No
This Is the End,Evan Goldberg,2013,7.93,Comedy,No
Young Frankenstein,Mel Brooks,1974,7.93,Comedy,No
Zodiac,David Fincher,2007,7.93,Thriller,No
A Woman is a Woman,Jean-Luc Goddard,1961,7.92,Foreign,No
Blue,Krzysztof Kieslowski,1993,7.92,Foreign,No
Joe,David Gordon Green,2013,7.92,Drama,No
Micmacs,Jean-Pierre Jeunet,2009,7.92,Foreign,No
The Girl on the Bridge,Patrice Leconte,1999,7.92,Foreign,No
Sunset Boulevard,Billy Wilder,1950,7.91,Classic,No
Super 8,J.J. Abrams,2011,7.91,Sci-Fi,No
How to Train Your Dragon 2,Dean DeBlois,2014,7.90,Family,No
The Great Dictator,Charles Chaplin,1940,7.90,Classic,No
Cinema Paradiso,Giuseppe Tornatore,1988,7.89,Foreign,No
