Decimal_Year,MSL (ft)
2014.58,2.165
2014.67,2.116
2014.75,2.326
2014.83,1.955
2014.92,1.988
2015.00,1.548
2015.08,1.558
2015.17,1.414
2015.25,1.683
2015.33,1.515
2015.42,1.968
2015.50,2.204
2015.58,2.158
2015.67,2.165
2015.75,2.172
2015.83,1.919
2015.92,1.958
2016.00,1.968
2016.08,1.798
2016.17,1.86
2016.25,2.001
2016.33,1.991
2016.42,2.135
2016.50,2.155
2016.58,2.083
2016.67,2.221
2016.75,2.195
2016.83,2.034
2016.92,1.814
2017.00,1.857
2017.08,1.85
2017.17,1.529
2017.25,2.057
2017.33,2.26
2017.42,2.231
2017.50,2.273
2017.58,2.237
2017.67,2.345
2017.75,2.24
2017.83,2.191
2017.92,1.765
2018.00,1.571
2018.08,1.568
2018.17,2.29
2018.25,1.962
2018.33,1.932
2018.42,2.181
2018.50,1.998
2018.58,2.277
2018.67,2.388
2018.75,2.293
2018.83,2.126
2018.92,2.076
2019.00,2.008
2019.08,1.693
2019.17,1.889
2019.25,1.991
2019.33,2.277
2019.42,2.352
2019.50,2.388
2019.58,2.388
2019.67,2.322
2019.75,2.5
2019.83,2.234
2019.92,2.044
2020.00,2.004
2020.08,1.876
2020.17,2.037
2020.25,2.263
2020.33,1.929
2020.42,2.221
2020.50,2.336
2020.58,2.273
2020.67,2.257
2020.75,2.175
2020.83,1.958
2020.92,2.037
2021.00,2.149
2021.08,2.017
2021.17,1.601
2021.25,2.06
2021.33,1.912
2021.42,2.057
2021.50,2.254
2021.58,2.283
2021.67,2.345
2021.75,2.582
2021.83,2.188
2021.92,1.948
2022.00,1.962
2022.08,1.551
2022.17,1.798
2022.25,1.955
2022.33,2.165
2022.42,2.267
2022.50,2.204
2022.58,2.254
2022.67,2.368
2022.75,2.329
2022.83,2.103
2022.92,2.175
2023.00,2.178
2023.08,1.998
2023.17,2.368
2023.25,2.211
2023.33,2.208
2023.42,2.464
2023.50,2.457
2023.58,2.404
2023.67,2.431
2023.75,2.631
2023.83,2.427
2023.92,2.286
2024.00,2.382
2024.08,2.398
2024.17,2.231
2024.25,2.464
2024.33,2.457
2024.42,2.296
2024.50,2.296
2024.58,2.355
2024.67,2.513
2024.75,2.368
2024.83,2.355
2024.92,1.903
